25.0, 11.0, 43.0, 21.0, 42.0, 39.0, 33.0, 22.0, 34.0, 15.0, 10.0, 20.0, 26.0, 36.0, 55.0, 55.0, 50.0, 46.0, 28.0, 25.0, 7.0, 40.0, 50.0, 57.0, 35.0, 47.0, 30.0, 20.0, 23.0, 30.0, 0.0, 12.0, 10.0, 15.0, 25.0, 23.0, 38.0, 44.0, 65.0, 52.0
17.0, 10.0, 35.0, 25.0, 40.0, 27.0, 22.0, 11.0, 22.0, 25.0, 8.0, 17.0, 25.0, 27.0, 44.0, 47.0, 38.0, 34.0, 16.0, 17.0, 19.0, 34.0, 44.0, 52.0, 38.0, 46.0, 26.0, 12.0, 18.0, 34.0, 12.0, 0.0, 17.0, 22.0, 34.0, 34.0, 30.0, 33.0, 53.0, 49.0
34.0, 20.0, 52.0, 31.0, 52.0, 43.0, 40.0, 24.0, 36.0, 21.0, 10.0, 15.0, 37.0, 44.0, 62.0, 64.0, 55.0, 49.0, 32.0, 21.0, 10.0, 50.0, 59.0, 67.0, 45.0, 57.0, 40.0, 29.0, 32.0, 39.0, 10.0, 17.0, 0.0, 24.0, 33.0, 28.0, 34.0, 51.0, 70.0, 62.0
24.0, 12.0, 39.0, 7.0, 32.0, 43.0, 35.0, 33.0, 43.0, 8.0, 24.0, 35.0, 17.0, 35.0, 56.0, 52.0, 53.0, 52.0, 35.0, 38.0, 15.0, 32.0, 42.0, 47.0, 20.0, 34.0, 23.0, 21.0, 19.0, 14.0, 15.0, 22.0, 24.0, 0.0, 12.0, 16.0, 51.0, 45.0, 67.0, 40.0
36.0, 24.0, 48.0, 14.0, 36.0, 55.0, 47.0, 45.0, 56.0, 11.0, 35.0, 46.0, 25.0, 46.0, 67.0, 61.0, 65.0, 65.0, 47.0, 50.0, 22.0, 40.0, 49.0, 50.0, 20.0, 35.0, 32.0, 33.0, 30.0, 13.0, 25.0, 34.0, 33.0, 12.0, 0.0, 10.0, 63.0, 57.0, 78.0, 43.0
41.0, 27.0, 55.0, 21.0, 45.0, 59.0, 51.0, 45.0, 57.0, 9.0, 33.0, 43.0, 32.0, 51.0, 73.0, 68.0, 69.0, 67.0, 49.0, 48.0, 18.0, 48.0, 57.0, 60.0, 30.0, 45.0, 39.0, 37.0, 35.0, 23.0, 23.0, 34.0, 28.0, 16.0, 10.0, 0.0, 61.0, 62.0, 83.0, 53.0
41.0, 40.0, 54.0, 55.0, 66.0, 32.0, 37.0, 20.0, 18.0, 53.0, 28.0, 18.0, 54.0, 44.0, 51.0, 61.0, 40.0, 30.0, 26.0, 13.0, 43.0, 58.0, 65.0, 76.0, 67.0, 74.0, 52.0, 38.0, 45.0, 64.0, 38.0, 30.0, 34.0, 51.0, 63.0, 61.0, 0.0, 43.0, 55.0, 75.0
21.0, 35.0, 15.0, 43.0, 35.0, 11.0, 11.0, 30.0, 25.0, 53.0, 41.0, 45.0, 33.0, 11.0, 11.0, 18.0, 10.0, 18.0, 20.0, 40.0, 51.0, 25.0, 26.0, 38.0, 47.0, 45.0, 26.0, 25.0, 27.0, 49.0, 44.0, 33.0, 51.0, 45.0, 57.0, 62.0, 43.0, 0.0, 21.0, 40.0
42.0, 56.0, 32.0, 64.0, 52.0, 26.0, 32.0, 47.0, 38.0, 74.0, 60.0, 61.0, 54.0, 32.0, 11.0, 25.0, 15.0, 25.0, 38.0, 55.0, 72.0, 42.0, 40.0, 50.0, 67.0, 61.0, 47.0, 46.0, 48.0, 69.0, 65.0, 53.0, 70.0, 67.0, 78.0, 83.0, 55.0, 21.0, 0.0, 55.0
33.0, 41.0, 25.0, 33.0, 9.0, 48.0, 39.0, 55.0, 58.0, 48.0, 56.0, 66.0, 25.0, 32.0, 45.0, 30.0, 50.0, 57.0, 48.0, 65.0, 55.0, 17.0, 15.0, 8.0, 23.0, 9.0, 23.0, 37.0, 31.0, 30.0, 52.0, 49.0, 62.0, 40.0, 43.0, 53.0, 75.0, 40.0, 55.0, 0.0
