15.0, 22.0, 27.0, 35.0, 40.0, 11.0, 11.0, 10.0, 10.0, 40.0, 22.0, 25.0, 30.0, 18.0, 30.0, 36.0, 22.0, 18.0, 0.0, 20.0, 35.0, 32.0, 39.0, 49.0, 45.0, 49.0, 26.0, 15.0, 21.0, 44.0, 28.0, 16.0, 32.0, 35.0, 47.0, 49.0, 26.0, 20.0, 38.0, 48.0, 25.0, 39.0, 28.0, 37.0, 27.0, 14.0, 19.0, 20.0, 13.0, 31.0
32.0, 28.0, 47.0, 42.0, 56.0, 30.0, 31.0, 11.0, 17.0, 40.0, 15.0, 7.0, 43.0, 38.0, 50.0, 57.0, 40.0, 31.0, 20.0, 0.0, 30.0, 50.0, 58.0, 68.0, 55.0, 64.0, 42.0, 28.0, 34.0, 52.0, 25.0, 17.0, 21.0, 38.0, 50.0, 48.0, 13.0, 40.0, 55.0, 65.0, 43.0, 59.0, 48.0, 57.0, 46.0, 23.0, 17.0, 8.0, 8.0, 12.0
31.0, 16.0, 49.0, 22.0, 46.0, 46.0, 40.0, 29.0, 41.0, 11.0, 15.0, 25.0, 30.0, 42.0, 62.0, 61.0, 57.0, 53.0, 35.0, 30.0, 0.0, 45.0, 55.0, 60.0, 36.0, 49.0, 35.0, 26.0, 28.0, 29.0, 7.0, 19.0, 10.0, 15.0, 22.0, 18.0, 43.0, 51.0, 72.0, 55.0, 40.0, 58.0, 57.0, 65.0, 61.0, 47.0, 46.0, 38.0, 34.0, 39.0
18.0, 29.0, 10.0, 26.0, 10.0, 31.0, 22.0, 39.0, 41.0, 41.0, 42.0, 51.0, 15.0, 15.0, 31.0, 21.0, 35.0, 41.0, 32.0, 50.0, 45.0, 0.0, 10.0, 18.0, 25.0, 20.0, 10.0, 22.0, 17.0, 29.0, 40.0, 34.0, 50.0, 32.0, 40.0, 48.0, 58.0, 25.0, 42.0, 17.0, 7.0, 13.0, 22.0, 27.0, 34.0, 42.0, 51.0, 51.0, 45.0, 61.0
26.0, 39.0, 12.0, 36.0, 14.0, 36.0, 28.0, 47.0, 48.0, 50.0, 52.0, 60.0, 25.0, 21.0, 30.0, 15.0, 36.0, 44.0, 39.0, 58.0, 55.0, 10.0, 0.0, 11.0, 32.0, 22.0, 20.0, 31.0, 27.0, 37.0, 50.0, 44.0, 59.0, 42.0, 49.0, 57.0, 65.0, 26.0, 40.0, 15.0, 15.0, 4.0, 21.0, 23.0, 34.0, 48.0, 57.0, 59.0, 52.0, 69.0
36.0, 46.0, 23.0, 40.0, 15.0, 47.0, 39.0, 57.0, 58.0, 55.0, 60.0, 69.0, 30.0, 32.0, 40.0, 25.0, 47.0, 55.0, 49.0, 68.0, 60.0, 18.0, 11.0, 0.0, 31.0, 18.0, 26.0, 40.0, 34.0, 38.0, 57.0, 52.0, 67.0, 47.0, 50.0, 60.0, 76.0, 38.0, 50.0, 8.0, 25.0, 13.0, 31.0, 32.0, 44.0, 59.0, 68.0, 69.0, 63.0, 79.0
30.0, 27.0, 34.0, 14.0, 18.0, 50.0, 40.0, 47.0, 55.0, 26.0, 43.0, 54.0, 15.0, 36.0, 55.0, 46.0, 57.0, 60.0, 45.0, 55.0, 36.0, 25.0, 32.0, 31.0, 0.0, 15.0, 20.0, 30.0, 24.0, 7.0, 35.0, 38.0, 45.0, 20.0, 20.0, 30.0, 67.0, 47.0, 67.0, 23.0, 26.0, 36.0, 47.0, 52.0, 57.0, 59.0, 64.0, 60.0, 54.0, 67.0
33.0, 37.0, 30.0, 26.0, 10.0, 50.0, 41.0, 54.0, 59.0, 41.0, 53.0, 63.0, 21.0, 35.0, 50.0, 38.0, 55.0, 60.0, 49.0, 64.0, 49.0, 20.0, 22.0, 18.0, 15.0, 0.0, 22.0, 36.0, 29.0, 22.0, 47.0, 46.0, 57.0, 34.0, 35.0, 45.0, 74.0, 45.0, 61.0, 9.0, 25.0, 26.0, 41.0, 45.0, 54.0, 61.0, 68.0, 67.0, 61.0, 76.0
11.0, 19.0, 16.0, 18.0, 14.0, 30.0, 20.0, 32.0, 37.0, 31.0, 33.0, 43.0, 7.0, 15.0, 36.0, 29.0, 36.0, 40.0, 26.0, 42.0, 35.0, 10.0, 20.0, 26.0, 20.0, 22.0, 0.0, 14.0, 8.0, 22.0, 30.0, 26.0, 40.0, 23.0, 32.0, 39.0, 52.0, 26.0, 47.0, 23.0, 7.0, 23.0, 27.0, 34.0, 37.0, 39.0, 46.0, 45.0, 38.0, 54.0
5.0, 10.0, 23.0, 20.0, 28.0, 22.0, 14.0, 18.0, 25.0, 28.0, 20.0, 29.0, 15.0, 15.0, 36.0, 35.0, 32.0, 31.0, 15.0, 28.0, 26.0, 22.0, 31.0, 40.0, 30.0, 36.0, 14.0, 0.0, 6.0, 29.0, 20.0, 12.0, 29.0, 21.0, 33.0, 37.0, 38.0, 25.0, 46.0, 37.0, 15.0, 33.0, 30.0, 38.0, 35.0, 29.0, 33.0, 31.0, 25.0, 40.0
6.0, 12.0, 20.0, 16.0, 22.0, 26.0, 17.0, 24.0, 31.0, 26.0, 25.0, 35.0, 9.0, 16.0, 37.0, 33.0, 35.0, 36.0, 21.0, 34.0, 28.0, 17.0, 27.0, 34.0, 24.0, 29.0, 8.0, 6.0, 0.0, 23.0, 23.0, 18.0, 32.0, 19.0, 30.0, 35.0, 45.0, 27.0, 48.0, 31.0, 12.0, 30.0, 30.0, 38.0, 37.0, 35.0, 40.0, 38.0, 31.0, 46.0
29.0, 24.0, 38.0, 9.0, 23.0, 50.0, 40.0, 44.0, 54.0, 20.0, 38.0, 49.0, 15.0, 38.0, 58.0, 50.0, 58.0, 60.0, 44.0, 52.0, 29.0, 29.0, 37.0, 38.0, 7.0, 22.0, 22.0, 29.0, 23.0, 0.0, 30.0, 34.0, 39.0, 14.0, 13.0, 23.0, 64.0, 49.0, 69.0, 30.0, 29.0, 41.0, 50.0, 56.0, 59.0, 58.0, 62.0, 57.0, 51.0, 63.0
25.0, 11.0, 43.0, 21.0, 42.0, 39.0, 33.0, 22.0, 34.0, 15.0, 10.0, 20.0, 26.0, 36.0, 55.0, 55.0, 50.0, 46.0, 28.0, 25.0, 7.0, 40.0, 50.0, 57.0, 35.0, 47.0, 30.0, 20.0, 23.0, 30.0, 0.0, 12.0, 10.0, 15.0, 25.0, 23.0, 38.0, 44.0, 65.0, 52.0, 35.0, 53.0, 50.0, 59.0, 54.0, 40.0, 39.0, 32.0, 28.0, 34.0
17.0, 10.0, 35.0, 25.0, 40.0, 27.0, 22.0, 11.0, 22.0, 25.0, 8.0, 17.0, 25.0, 27.0, 44.0, 47.0, 38.0, 34.0, 16.0, 17.0, 19.0, 34.0, 44.0, 52.0, 38.0, 46.0, 26.0, 12.0, 18.0, 34.0, 12.0, 0.0, 17.0, 22.0, 34.0, 34.0, 30.0, 33.0, 53.0, 49.0, 28.0, 46.0, 40.0, 49.0, 42.0, 28.0, 29.0, 23.0, 18.0, 29.0
34.0, 20.0, 52.0, 31.0, 52.0, 43.0, 40.0, 24.0, 36.0, 21.0, 10.0, 15.0, 37.0, 44.0, 62.0, 64.0, 55.0, 49.0, 32.0, 21.0, 10.0, 50.0, 59.0, 67.0, 45.0, 57.0, 40.0, 29.0, 32.0, 39.0, 10.0, 17.0, 0.0, 24.0, 33.0, 28.0, 34.0, 51.0, 70.0, 62.0, 44.0, 62.0, 58.0, 67.0, 60.0, 42.0, 39.0, 29.0, 27.0, 29.0
24.0, 12.0, 39.0, 7.0, 32.0, 43.0, 35.0, 33.0, 43.0, 8.0, 24.0, 35.0, 17.0, 35.0, 56.0, 52.0, 53.0, 52.0, 35.0, 38.0, 15.0, 32.0, 42.0, 47.0, 20.0, 34.0, 23.0, 21.0, 19.0, 14.0, 15.0, 22.0, 24.0, 0.0, 12.0, 16.0, 51.0, 45.0, 67.0, 40.0, 29.0, 46.0, 49.0, 57.0, 56.0, 49.0, 51.0, 45.0, 40.0, 49.0
36.0, 24.0, 48.0, 14.0, 36.0, 55.0, 47.0, 45.0, 56.0, 11.0, 35.0, 46.0, 25.0, 46.0, 67.0, 61.0, 65.0, 65.0, 47.0, 50.0, 22.0, 40.0, 49.0, 50.0, 20.0, 35.0, 32.0, 33.0, 30.0, 13.0, 25.0, 34.0, 33.0, 12.0, 0.0, 10.0, 63.0, 57.0, 78.0, 43.0, 39.0, 53.0, 59.0, 66.0, 67.0, 61.0, 63.0, 57.0, 52.0, 60.0
41.0, 27.0, 55.0, 21.0, 45.0, 59.0, 51.0, 45.0, 57.0, 9.0, 33.0, 43.0, 32.0, 51.0, 73.0, 68.0, 69.0, 67.0, 49.0, 48.0, 18.0, 48.0, 57.0, 60.0, 30.0, 45.0, 39.0, 37.0, 35.0, 23.0, 23.0, 34.0, 28.0, 16.0, 10.0, 0.0, 61.0, 62.0, 83.0, 53.0, 46.0, 61.0, 65.0, 73.0, 72.0, 63.0, 63.0, 55.0, 51.0, 57.0
41.0, 40.0, 54.0, 55.0, 66.0, 32.0, 37.0, 20.0, 18.0, 53.0, 28.0, 18.0, 54.0, 44.0, 51.0, 61.0, 40.0, 30.0, 26.0, 13.0, 43.0, 58.0, 65.0, 76.0, 67.0, 74.0, 52.0, 38.0, 45.0, 64.0, 38.0, 30.0, 34.0, 51.0, 63.0, 61.0, 0.0, 43.0, 55.0, 75.0, 51.0, 66.0, 52.0, 60.0, 46.0, 22.0, 12.0, 7.0, 13.0, 8.0
21.0, 35.0, 15.0, 43.0, 35.0, 11.0, 11.0, 30.0, 25.0, 53.0, 41.0, 45.0, 33.0, 11.0, 11.0, 18.0, 10.0, 18.0, 20.0, 40.0, 51.0, 25.0, 26.0, 38.0, 47.0, 45.0, 26.0, 25.0, 27.0, 49.0, 44.0, 33.0, 51.0, 45.0, 57.0, 62.0, 43.0, 0.0, 21.0, 40.0, 20.0, 25.0, 8.0, 17.0, 10.0, 22.0, 33.0, 37.0, 32.0, 50.0
42.0, 56.0, 32.0, 64.0, 52.0, 26.0, 32.0, 47.0, 38.0, 74.0, 60.0, 61.0, 54.0, 32.0, 11.0, 25.0, 15.0, 25.0, 38.0, 55.0, 72.0, 42.0, 40.0, 50.0, 67.0, 61.0, 47.0, 46.0, 48.0, 69.0, 65.0, 53.0, 70.0, 67.0, 78.0, 83.0, 55.0, 21.0, 0.0, 55.0, 40.0, 37.0, 20.0, 18.0, 10.0, 33.0, 43.0, 51.0, 47.0, 63.0
33.0, 41.0, 25.0, 33.0, 9.0, 48.0, 39.0, 55.0, 58.0, 48.0, 56.0, 66.0, 25.0, 32.0, 45.0, 30.0, 50.0, 57.0, 48.0, 65.0, 55.0, 17.0, 15.0, 8.0, 23.0, 9.0, 23.0, 37.0, 31.0, 30.0, 52.0, 49.0, 62.0, 40.0, 43.0, 53.0, 75.0, 40.0, 55.0, 0.0, 23.0, 18.0, 36.0, 38.0, 49.0, 59.0, 68.0, 68.0, 61.0, 77.0
11.0, 24.0, 9.0, 25.0, 15.0, 25.0, 15.0, 32.0, 34.0, 38.0, 36.0, 44.0, 14.0, 10.0, 29.0, 22.0, 30.0, 35.0, 25.0, 43.0, 40.0, 7.0, 15.0, 25.0, 26.0, 25.0, 7.0, 15.0, 12.0, 29.0, 35.0, 28.0, 44.0, 29.0, 39.0, 46.0, 51.0, 20.0, 40.0, 23.0, 0.0, 18.0, 20.0, 27.0, 31.0, 36.0, 44.0, 44.0, 38.0, 54.0
28.0, 42.0, 12.0, 40.0, 18.0, 35.0, 28.0, 48.0, 48.0, 54.0, 54.0, 62.0, 29.0, 21.0, 27.0, 12.0, 34.0, 43.0, 39.0, 59.0, 58.0, 13.0, 4.0, 13.0, 36.0, 26.0, 23.0, 33.0, 30.0, 41.0, 53.0, 46.0, 62.0, 46.0, 53.0, 61.0, 66.0, 25.0, 37.0, 18.0, 18.0, 0.0, 18.0, 19.0, 31.0, 47.0, 57.0, 59.0, 53.0, 70.0
25.0, 40.0, 12.0, 45.0, 32.0, 20.0, 18.0, 38.0, 34.0, 57.0, 48.0, 53.0, 34.0, 14.0, 9.0, 9.0, 16.0, 26.0, 28.0, 48.0, 57.0, 22.0, 21.0, 31.0, 47.0, 41.0, 27.0, 30.0, 30.0, 50.0, 50.0, 40.0, 58.0, 49.0, 59.0, 65.0, 52.0, 8.0, 20.0, 36.0, 20.0, 18.0, 0.0, 9.0, 13.0, 31.0, 42.0, 46.0, 41.0, 58.0
34.0, 49.0, 18.0, 52.0, 36.0, 28.0, 27.0, 47.0, 42.0, 65.0, 57.0, 62.0, 41.0, 23.0, 10.0, 7.0, 21.0, 32.0, 37.0, 57.0, 65.0, 27.0, 23.0, 32.0, 52.0, 45.0, 34.0, 38.0, 38.0, 56.0, 59.0, 49.0, 67.0, 57.0, 66.0, 73.0, 60.0, 17.0, 18.0, 38.0, 27.0, 19.0, 9.0, 0.0, 16.0, 38.0, 49.0, 55.0, 50.0, 67.0
31.0, 46.0, 24.0, 53.0, 44.0, 16.0, 21.0, 37.0, 29.0, 63.0, 49.0, 51.0, 44.0, 21.0, 5.0, 21.0, 6.0, 17.0, 27.0, 46.0, 61.0, 34.0, 34.0, 44.0, 57.0, 54.0, 37.0, 35.0, 37.0, 59.0, 54.0, 42.0, 60.0, 56.0, 67.0, 72.0, 46.0, 10.0, 10.0, 49.0, 31.0, 31.0, 13.0, 16.0, 0.0, 24.0, 35.0, 42.0, 38.0, 54.0
29.0, 36.0, 35.0, 49.0, 52.0, 12.0, 20.0, 18.0, 6.0, 53.0, 32.0, 30.0, 44.0, 27.0, 29.0, 40.0, 18.0, 8.0, 14.0, 23.0, 47.0, 42.0, 48.0, 59.0, 59.0, 61.0, 39.0, 29.0, 35.0, 58.0, 40.0, 28.0, 42.0, 49.0, 61.0, 63.0, 22.0, 22.0, 33.0, 59.0, 36.0, 47.0, 31.0, 38.0, 24.0, 0.0, 10.0, 18.0, 15.0, 30.0
35.0, 39.0, 45.0, 53.0, 59.0, 22.0, 29.0, 18.0, 9.0, 54.0, 30.0, 24.0, 49.0, 36.0, 40.0, 51.0, 29.0, 18.0, 19.0, 17.0, 46.0, 51.0, 57.0, 68.0, 64.0, 68.0, 46.0, 33.0, 40.0, 62.0, 39.0, 29.0, 39.0, 51.0, 63.0, 63.0, 12.0, 33.0, 43.0, 68.0, 44.0, 57.0, 42.0, 49.0, 35.0, 10.0, 0.0, 10.0, 11.0, 20.0
34.0, 33.0, 47.0, 48.0, 59.0, 26.0, 31.0, 13.0, 13.0, 47.0, 22.0, 15.0, 46.0, 38.0, 46.0, 55.0, 36.0, 26.0, 20.0, 8.0, 38.0, 51.0, 59.0, 69.0, 60.0, 67.0, 45.0, 31.0, 38.0, 57.0, 32.0, 23.0, 29.0, 45.0, 57.0, 55.0, 7.0, 37.0, 51.0, 68.0, 44.0, 59.0, 46.0, 55.0, 42.0, 18.0, 10.0, 0.0, 6.0, 12.0
27.0, 28.0, 41.0, 42.0, 52.0, 22.0, 25.0, 7.0, 9.0, 42.0, 18.0, 14.0, 40.0, 31.0, 42.0, 49.0, 32.0, 23.0, 13.0, 8.0, 34.0, 45.0, 52.0, 63.0, 54.0, 61.0, 38.0, 25.0, 31.0, 51.0, 28.0, 18.0, 27.0, 40.0, 52.0, 51.0, 13.0, 32.0, 47.0, 61.0, 38.0, 53.0, 41.0, 50.0, 38.0, 15.0, 11.0, 6.0, 0.0, 17.0
43.0, 39.0, 58.0, 54.0, 68.0, 39.0, 42.0, 22.0, 25.0, 49.0, 25.0, 14.0, 55.0, 49.0, 58.0, 67.0, 48.0, 38.0, 31.0, 12.0, 39.0, 61.0, 69.0, 79.0, 67.0, 76.0, 54.0, 40.0, 46.0, 63.0, 34.0, 29.0, 29.0, 49.0, 60.0, 57.0, 8.0, 50.0, 63.0, 77.0, 54.0, 70.0, 58.0, 67.0, 54.0, 30.0, 20.0, 12.0, 17.0, 0.0
