31.0, 47.0, 37.0, 46.0, 41.0, 46.0, 35.0, 35.0, 40.0, 5.0, 0.0, 2.0, 5.0, 7.0, 7.0, 8.0, 10.0, 11.0, 48.0, 43.0, 40.0, 46.0, 39.0, 44.0, 37.0, 43.0, 85.0, 85.0, 82.0, 80.0, 78.0, 78.0, 77.0, 76.0, 75.0, 72.0, 71.0, 69.0, 65.0, 64.0, 67.0, 59.0, 60.0, 63.0, 61.0, 43.0, 40.0, 9.0, 47.0, 42.0
33.0, 48.0, 37.0, 47.0, 41.0, 46.0, 36.0, 35.0, 40.0, 5.0, 2.0, 0.0, 5.0, 5.0, 5.0, 6.0, 8.0, 9.0, 50.0, 45.0, 42.0, 47.0, 40.0, 46.0, 39.0, 44.0, 87.0, 87.0, 84.0, 82.0, 80.0, 80.0, 79.0, 78.0, 77.0, 74.0, 72.0, 70.0, 67.0, 65.0, 68.0, 61.0, 61.0, 65.0, 63.0, 43.0, 41.0, 7.0, 48.0, 44.0
32.0, 43.0, 33.0, 42.0, 37.0, 41.0, 31.0, 30.0, 35.0, 10.0, 5.0, 5.0, 0.0, 10.0, 3.0, 7.0, 9.0, 8.0, 53.0, 48.0, 45.0, 51.0, 43.0, 50.0, 42.0, 48.0, 88.0, 87.0, 85.0, 82.0, 81.0, 80.0, 80.0, 79.0, 77.0, 71.0, 69.0, 67.0, 64.0, 62.0, 65.0, 58.0, 58.0, 61.0, 59.0, 38.0, 36.0, 6.0, 52.0, 47.0
38.0, 53.0, 43.0, 52.0, 47.0, 52.0, 42.0, 41.0, 46.0, 5.0, 7.0, 5.0, 10.0, 0.0, 10.0, 5.0, 7.0, 11.0, 49.0, 44.0, 42.0, 46.0, 40.0, 44.0, 38.0, 42.0, 90.0, 90.0, 87.0, 85.0, 83.0, 83.0, 82.0, 80.0, 80.0, 79.0, 78.0, 76.0, 72.0, 71.0, 74.0, 66.0, 67.0, 70.0, 68.0, 49.0, 46.0, 10.0, 47.0, 43.0
35.0, 44.0, 34.0, 43.0, 38.0, 42.0, 32.0, 31.0, 36.0, 11.0, 7.0, 5.0, 3.0, 10.0, 0.0, 5.0, 7.0, 5.0, 55.0, 50.0, 47.0, 53.0, 46.0, 51.0, 44.0, 50.0, 91.0, 90.0, 88.0, 85.0, 84.0, 83.0, 83.0, 82.0, 80.0, 73.0, 72.0, 70.0, 66.0, 65.0, 68.0, 60.0, 61.0, 64.0, 62.0, 39.0, 37.0, 3.0, 54.0, 49.0
39.0, 50.0, 40.0, 49.0, 43.0, 48.0, 38.0, 37.0, 42.0, 9.0, 8.0, 6.0, 7.0, 5.0, 5.0, 0.0, 2.0, 5.0, 54.0, 50.0, 47.0, 51.0, 45.0, 50.0, 43.0, 48.0, 93.0, 93.0, 90.0, 88.0, 86.0, 86.0, 85.0, 84.0, 83.0, 79.0, 77.0, 75.0, 72.0, 70.0, 73.0, 66.0, 66.0, 69.0, 67.0, 45.0, 43.0, 5.0, 53.0, 48.0
41.0, 51.0, 41.0, 50.0, 44.0, 49.0, 39.0, 38.0, 42.0, 11.0, 10.0, 8.0, 9.0, 7.0, 7.0, 2.0, 0.0, 5.0, 56.0, 51.0, 48.0, 53.0, 47.0, 51.0, 45.0, 49.0, 95.0, 95.0, 92.0, 90.0, 88.0, 88.0, 87.0, 86.0, 85.0, 80.0, 79.0, 77.0, 73.0, 72.0, 75.0, 67.0, 68.0, 71.0, 69.0, 46.0, 43.0, 5.0, 54.0, 50.0
40.0, 47.0, 37.0, 45.0, 40.0, 44.0, 34.0, 33.0, 38.0, 14.0, 11.0, 9.0, 8.0, 11.0, 5.0, 5.0, 5.0, 0.0, 59.0, 54.0, 51.0, 56.0, 50.0, 55.0, 48.0, 53.0, 96.0, 95.0, 93.0, 90.0, 89.0, 88.0, 88.0, 87.0, 85.0, 78.0, 76.0, 74.0, 71.0, 69.0, 72.0, 65.0, 65.0, 68.0, 66.0, 42.0, 39.0, 2.0, 58.0, 53.0
45.0, 82.0, 73.0, 82.0, 78.0, 83.0, 74.0, 75.0, 80.0, 45.0, 48.0, 50.0, 53.0, 49.0, 55.0, 54.0, 56.0, 59.0, 0.0, 5.0, 10.0, 4.0, 10.0, 6.0, 11.0, 9.0, 56.0, 59.0, 54.0, 54.0, 50.0, 53.0, 49.0, 45.0, 50.0, 83.0, 82.0, 79.0, 77.0, 76.0, 81.0, 71.0, 75.0, 80.0, 77.0, 80.0, 79.0, 58.0, 2.0, 7.0
40.0, 76.0, 68.0, 77.0, 73.0, 78.0, 69.0, 70.0, 75.0, 40.0, 43.0, 45.0, 48.0, 44.0, 50.0, 50.0, 51.0, 54.0, 5.0, 0.0, 5.0, 5.0, 5.0, 6.0, 6.0, 8.0, 56.0, 58.0, 53.0, 54.0, 50.0, 52.0, 49.0, 45.0, 49.0, 79.0, 78.0, 75.0, 72.0, 72.0, 77.0, 66.0, 71.0, 76.0, 73.0, 75.0, 74.0, 53.0, 5.0, 2.0
35.0, 72.0, 63.0, 72.0, 68.0, 73.0, 64.0, 65.0, 70.0, 37.0, 40.0, 42.0, 45.0, 42.0, 47.0, 47.0, 48.0, 51.0, 10.0, 5.0, 0.0, 10.0, 2.0, 10.0, 4.0, 12.0, 55.0, 56.0, 52.0, 52.0, 48.0, 50.0, 47.0, 44.0, 47.0, 74.0, 73.0, 70.0, 68.0, 67.0, 72.0, 62.0, 66.0, 71.0, 68.0, 70.0, 69.0, 50.0, 10.0, 3.0
45.0, 81.0, 72.0, 82.0, 77.0, 82.0, 73.0, 74.0, 79.0, 42.0, 46.0, 47.0, 51.0, 46.0, 53.0, 51.0, 53.0, 56.0, 4.0, 5.0, 10.0, 0.0, 10.0, 2.0, 10.0, 5.0, 60.0, 62.0, 57.0, 58.0, 54.0, 56.0, 53.0, 49.0, 54.0, 84.0, 83.0, 80.0, 78.0, 77.0, 82.0, 72.0, 76.0, 81.0, 78.0, 79.0, 78.0, 55.0, 2.0, 7.0
35.0, 71.0, 62.0, 72.0, 68.0, 72.0, 63.0, 65.0, 69.0, 36.0, 39.0, 40.0, 43.0, 40.0, 46.0, 45.0, 47.0, 50.0, 10.0, 5.0, 2.0, 10.0, 0.0, 10.0, 2.0, 11.0, 57.0, 58.0, 54.0, 53.0, 50.0, 52.0, 49.0, 46.0, 49.0, 75.0, 74.0, 71.0, 68.0, 68.0, 72.0, 62.0, 66.0, 71.0, 68.0, 69.0, 68.0, 48.0, 10.0, 3.0
45.0, 81.0, 71.0, 81.0, 77.0, 82.0, 72.0, 73.0, 78.0, 41.0, 44.0, 46.0, 50.0, 44.0, 51.0, 50.0, 51.0, 55.0, 6.0, 6.0, 10.0, 2.0, 10.0, 0.0, 10.0, 3.0, 62.0, 64.0, 59.0, 60.0, 55.0, 58.0, 55.0, 51.0, 55.0, 85.0, 84.0, 81.0, 78.0, 78.0, 82.0, 72.0, 76.0, 81.0, 78.0, 79.0, 77.0, 53.0, 4.0, 8.0
35.0, 71.0, 62.0, 71.0, 67.0, 72.0, 63.0, 64.0, 68.0, 34.0, 37.0, 39.0, 42.0, 38.0, 44.0, 43.0, 45.0, 48.0, 11.0, 6.0, 4.0, 10.0, 2.0, 10.0, 0.0, 10.0, 58.0, 60.0, 56.0, 55.0, 52.0, 53.0, 51.0, 48.0, 51.0, 75.0, 75.0, 72.0, 69.0, 68.0, 73.0, 63.0, 67.0, 72.0, 69.0, 69.0, 68.0, 46.0, 10.0, 5.0
45.0, 80.0, 71.0, 81.0, 76.0, 81.0, 72.0, 72.0, 77.0, 39.0, 43.0, 44.0, 48.0, 42.0, 50.0, 48.0, 49.0, 53.0, 9.0, 8.0, 12.0, 5.0, 11.0, 3.0, 10.0, 0.0, 65.0, 67.0, 62.0, 62.0, 58.0, 60.0, 57.0, 53.0, 58.0, 86.0, 85.0, 82.0, 79.0, 79.0, 83.0, 73.0, 77.0, 82.0, 79.0, 78.0, 76.0, 51.0, 7.0, 9.0
58.0, 89.0, 85.0, 91.0, 90.0, 93.0, 89.0, 91.0, 94.0, 85.0, 85.0, 87.0, 88.0, 90.0, 91.0, 93.0, 95.0, 96.0, 56.0, 56.0, 55.0, 60.0, 57.0, 62.0, 58.0, 65.0, 0.0, 5.0, 3.0, 7.0, 7.0, 8.0, 8.0, 11.0, 11.0, 61.0, 62.0, 60.0, 59.0, 61.0, 65.0, 58.0, 64.0, 68.0, 65.0, 91.0, 91.0, 94.0, 58.0, 55.0
57.0, 86.0, 83.0, 88.0, 87.0, 90.0, 86.0, 89.0, 91.0, 85.0, 85.0, 87.0, 87.0, 90.0, 90.0, 93.0, 95.0, 95.0, 59.0, 58.0, 56.0, 62.0, 58.0, 64.0, 60.0, 67.0, 5.0, 0.0, 5.0, 5.0, 8.0, 7.0, 9.0, 14.0, 10.0, 57.0, 58.0, 55.0, 55.0, 57.0, 61.0, 54.0, 60.0, 64.0, 61.0, 88.0, 89.0, 93.0, 60.0, 57.0
55.0, 86.0, 83.0, 89.0, 87.0, 90.0, 86.0, 89.0, 91.0, 82.0, 82.0, 84.0, 85.0, 87.0, 88.0, 90.0, 92.0, 93.0, 54.0, 53.0, 52.0, 57.0, 54.0, 59.0, 56.0, 62.0, 3.0, 5.0, 0.0, 5.0, 4.0, 6.0, 5.0, 8.0, 8.0, 60.0, 61.0, 58.0, 58.0, 59.0, 63.0, 56.0, 62.0, 66.0, 63.0, 88.0, 89.0, 91.0, 55.0, 53.0
52.0, 82.0, 78.0, 84.0, 83.0, 86.0, 82.0, 85.0, 87.0, 80.0, 80.0, 82.0, 82.0, 85.0, 85.0, 88.0, 90.0, 90.0, 54.0, 54.0, 52.0, 58.0, 53.0, 60.0, 55.0, 62.0, 7.0, 5.0, 5.0, 0.0, 5.0, 2.0, 5.0, 11.0, 5.0, 55.0, 55.0, 53.0, 53.0, 54.0, 58.0, 51.0, 57.0, 61.0, 58.0, 84.0, 84.0, 88.0, 56.0, 53.0
52.0, 83.0, 79.0, 85.0, 84.0, 87.0, 83.0, 85.0, 88.0, 78.0, 78.0, 80.0, 81.0, 83.0, 84.0, 86.0, 88.0, 89.0, 50.0, 50.0, 48.0, 54.0, 50.0, 55.0, 52.0, 58.0, 7.0, 8.0, 4.0, 5.0, 0.0, 5.0, 1.0, 5.0, 5.0, 58.0, 59.0, 56.0, 56.0, 57.0, 61.0, 54.0, 59.0, 64.0, 61.0, 85.0, 86.0, 87.0, 52.0, 49.0
50.0, 80.0, 77.0, 82.0, 81.0, 84.0, 80.0, 83.0, 85.0, 78.0, 78.0, 80.0, 80.0, 83.0, 83.0, 86.0, 88.0, 88.0, 53.0, 52.0, 50.0, 56.0, 52.0, 58.0, 53.0, 60.0, 8.0, 7.0, 6.0, 2.0, 5.0, 0.0, 5.0, 10.0, 3.0, 54.0, 55.0, 52.0, 51.0, 53.0, 57.0, 50.0, 55.0, 59.0, 57.0, 82.0, 83.0, 86.0, 54.0, 51.0
51.0, 82.0, 79.0, 85.0, 83.0, 86.0, 82.0, 84.0, 87.0, 77.0, 77.0, 79.0, 80.0, 82.0, 83.0, 85.0, 87.0, 88.0, 49.0, 49.0, 47.0, 53.0, 49.0, 55.0, 51.0, 57.0, 8.0, 9.0, 5.0, 5.0, 1.0, 5.0, 0.0, 5.0, 5.0, 58.0, 59.0, 56.0, 55.0, 56.0, 61.0, 53.0, 59.0, 63.0, 61.0, 84.0, 85.0, 86.0, 51.0, 48.0
51.0, 84.0, 80.0, 87.0, 85.0, 88.0, 83.0, 86.0, 89.0, 75.0, 76.0, 78.0, 79.0, 80.0, 82.0, 84.0, 86.0, 87.0, 45.0, 45.0, 44.0, 49.0, 46.0, 51.0, 48.0, 53.0, 11.0, 14.0, 8.0, 11.0, 5.0, 10.0, 5.0, 0.0, 10.0, 62.0, 63.0, 60.0, 59.0, 60.0, 65.0, 56.0, 62.0, 67.0, 64.0, 86.0, 86.0, 85.0, 47.0, 44.0
47.0, 78.0, 74.0, 80.0, 79.0, 82.0, 78.0, 80.0, 83.0, 75.0, 75.0, 77.0, 77.0, 80.0, 80.0, 83.0, 85.0, 85.0, 50.0, 49.0, 47.0, 54.0, 49.0, 55.0, 51.0, 58.0, 11.0, 10.0, 8.0, 5.0, 5.0, 3.0, 5.0, 10.0, 0.0, 53.0, 53.0, 51.0, 50.0, 51.0, 55.0, 48.0, 54.0, 58.0, 55.0, 80.0, 80.0, 83.0, 52.0, 48.0
44.0, 42.0, 46.0, 45.0, 47.0, 47.0, 50.0, 52.0, 52.0, 75.0, 72.0, 74.0, 71.0, 79.0, 73.0, 79.0, 80.0, 78.0, 83.0, 79.0, 74.0, 84.0, 75.0, 85.0, 75.0, 86.0, 61.0, 57.0, 60.0, 55.0, 58.0, 54.0, 58.0, 62.0, 53.0, 0.0, 2.0, 3.0, 7.0, 8.0, 7.0, 13.0, 13.0, 12.0, 12.0, 47.0, 49.0, 76.0, 83.0, 77.0
43.0, 40.0, 44.0, 43.0, 45.0, 45.0, 48.0, 50.0, 50.0, 74.0, 71.0, 72.0, 69.0, 78.0, 72.0, 77.0, 79.0, 76.0, 82.0, 78.0, 73.0, 83.0, 74.0, 84.0, 75.0, 85.0, 62.0, 58.0, 61.0, 55.0, 59.0, 55.0, 59.0, 63.0, 53.0, 2.0, 0.0, 3.0, 5.0, 7.0, 5.0, 12.0, 11.0, 10.0, 10.0, 45.0, 47.0, 74.0, 83.0, 76.0
40.0, 40.0, 43.0, 43.0, 45.0, 45.0, 47.0, 50.0, 50.0, 72.0, 69.0, 70.0, 67.0, 76.0, 70.0, 75.0, 77.0, 74.0, 79.0, 75.0, 70.0, 80.0, 71.0, 81.0, 72.0, 82.0, 60.0, 55.0, 58.0, 53.0, 56.0, 52.0, 56.0, 60.0, 51.0, 3.0, 3.0, 0.0, 3.0, 5.0, 5.0, 9.0, 10.0, 10.0, 10.0, 45.0, 47.0, 73.0, 80.0, 73.0
37.0, 37.0, 40.0, 40.0, 42.0, 42.0, 44.0, 47.0, 47.0, 68.0, 65.0, 67.0, 64.0, 72.0, 66.0, 72.0, 73.0, 71.0, 77.0, 72.0, 68.0, 78.0, 68.0, 78.0, 69.0, 79.0, 59.0, 55.0, 58.0, 53.0, 56.0, 51.0, 55.0, 59.0, 50.0, 7.0, 5.0, 3.0, 0.0, 2.0, 5.0, 6.0, 7.0, 8.0, 7.0, 42.0, 44.0, 69.0, 77.0, 70.0
36.0, 35.0, 38.0, 38.0, 40.0, 40.0, 42.0, 45.0, 45.0, 67.0, 64.0, 65.0, 62.0, 71.0, 65.0, 70.0, 72.0, 69.0, 76.0, 72.0, 67.0, 77.0, 68.0, 78.0, 68.0, 79.0, 61.0, 57.0, 59.0, 54.0, 57.0, 53.0, 56.0, 60.0, 51.0, 8.0, 7.0, 5.0, 2.0, 0.0, 5.0, 5.0, 5.0, 7.0, 5.0, 40.0, 42.0, 67.0, 77.0, 70.0
40.0, 35.0, 39.0, 38.0, 40.0, 40.0, 43.0, 46.0, 45.0, 70.0, 67.0, 68.0, 65.0, 74.0, 68.0, 73.0, 75.0, 72.0, 81.0, 77.0, 72.0, 82.0, 72.0, 82.0, 73.0, 83.0, 65.0, 61.0, 63.0, 58.0, 61.0, 57.0, 61.0, 65.0, 55.0, 7.0, 5.0, 5.0, 5.0, 5.0, 0.0, 10.0, 7.0, 5.0, 5.0, 40.0, 42.0, 70.0, 82.0, 75.0
30.0, 34.0, 36.0, 37.0, 38.0, 39.0, 40.0, 43.0, 43.0, 62.0, 59.0, 61.0, 58.0, 66.0, 60.0, 66.0, 67.0, 65.0, 71.0, 66.0, 62.0, 72.0, 62.0, 72.0, 63.0, 73.0, 58.0, 54.0, 56.0, 51.0, 54.0, 50.0, 53.0, 56.0, 48.0, 13.0, 12.0, 9.0, 6.0, 5.0, 10.0, 0.0, 5.0, 10.0, 7.0, 38.0, 40.0, 63.0, 71.0, 65.0
33.0, 30.0, 33.0, 33.0, 35.0, 35.0, 37.0, 40.0, 40.0, 63.0, 60.0, 61.0, 58.0, 67.0, 61.0, 66.0, 68.0, 65.0, 75.0, 71.0, 66.0, 76.0, 66.0, 76.0, 67.0, 77.0, 64.0, 60.0, 62.0, 57.0, 59.0, 55.0, 59.0, 62.0, 54.0, 13.0, 11.0, 10.0, 7.0, 5.0, 7.0, 5.0, 0.0, 5.0, 2.0, 35.0, 37.0, 63.0, 76.0, 69.0
38.0, 30.0, 34.0, 33.0, 35.0, 35.0, 38.0, 41.0, 40.0, 67.0, 63.0, 65.0, 61.0, 70.0, 64.0, 69.0, 71.0, 68.0, 80.0, 76.0, 71.0, 81.0, 71.0, 81.0, 72.0, 82.0, 68.0, 64.0, 66.0, 61.0, 64.0, 59.0, 63.0, 67.0, 58.0, 12.0, 10.0, 10.0, 8.0, 7.0, 5.0, 10.0, 5.0, 0.0, 3.0, 35.0, 37.0, 66.0, 81.0, 74.0
35.0, 30.0, 33.0, 33.0, 35.0, 35.0, 37.0, 40.0, 40.0, 65.0, 61.0, 63.0, 59.0, 68.0, 62.0, 67.0, 69.0, 66.0, 77.0, 73.0, 68.0, 78.0, 68.0, 78.0, 69.0, 79.0, 65.0, 61.0, 63.0, 58.0, 61.0, 57.0, 61.0, 64.0, 55.0, 12.0, 10.0, 10.0, 7.0, 5.0, 5.0, 7.0, 2.0, 3.0, 0.0, 35.0, 37.0, 64.0, 78.0, 71.0
37.0, 5.0, 7.0, 3.0, 2.0, 3.0, 7.0, 8.0, 5.0, 48.0, 43.0, 43.0, 38.0, 49.0, 39.0, 45.0, 46.0, 42.0, 80.0, 75.0, 70.0, 79.0, 69.0, 79.0, 69.0, 78.0, 91.0, 88.0, 88.0, 84.0, 85.0, 82.0, 84.0, 86.0, 80.0, 47.0, 45.0, 45.0, 42.0, 40.0, 40.0, 38.0, 35.0, 35.0, 35.0, 0.0, 2.0, 41.0, 80.0, 73.0
37.0, 8.0, 6.0, 6.0, 2.0, 5.0, 5.0, 5.0, 3.0, 45.0, 40.0, 41.0, 36.0, 46.0, 37.0, 43.0, 43.0, 39.0, 79.0, 74.0, 69.0, 78.0, 68.0, 77.0, 68.0, 76.0, 91.0, 89.0, 89.0, 84.0, 86.0, 83.0, 85.0, 86.0, 80.0, 49.0, 47.0, 47.0, 44.0, 42.0, 42.0, 40.0, 37.0, 37.0, 37.0, 2.0, 0.0, 38.0, 78.0, 72.0
38.0, 46.0, 36.0, 44.0, 39.0, 43.0, 34.0, 32.0, 37.0, 12.0, 9.0, 7.0, 6.0, 10.0, 3.0, 5.0, 5.0, 2.0, 58.0, 53.0, 50.0, 55.0, 48.0, 53.0, 46.0, 51.0, 94.0, 93.0, 91.0, 88.0, 87.0, 86.0, 86.0, 85.0, 83.0, 76.0, 74.0, 73.0, 69.0, 67.0, 70.0, 63.0, 63.0, 66.0, 64.0, 41.0, 38.0, 0.0, 56.0, 51.0
45.0, 81.0, 72.0, 82.0, 78.0, 82.0, 74.0, 75.0, 79.0, 43.0, 47.0, 48.0, 52.0, 47.0, 54.0, 53.0, 54.0, 58.0, 2.0, 5.0, 10.0, 2.0, 10.0, 4.0, 10.0, 7.0, 58.0, 60.0, 55.0, 56.0, 52.0, 54.0, 51.0, 47.0, 52.0, 83.0, 83.0, 80.0, 77.0, 77.0, 82.0, 71.0, 76.0, 81.0, 78.0, 80.0, 78.0, 56.0, 0.0, 7.0
38.0, 74.0, 66.0, 75.0, 71.0, 76.0, 67.0, 68.0, 73.0, 39.0, 42.0, 44.0, 47.0, 43.0, 49.0, 48.0, 50.0, 53.0, 7.0, 2.0, 3.0, 7.0, 3.0, 8.0, 5.0, 9.0, 55.0, 57.0, 53.0, 53.0, 49.0, 51.0, 48.0, 44.0, 48.0, 77.0, 76.0, 73.0, 70.0, 70.0, 75.0, 65.0, 69.0, 74.0, 71.0, 73.0, 72.0, 51.0, 7.0, 0.0
